G1,G2,G3,G4,G5,G6,G7,G8,G9
0.175,0.188,-0.159,0.095,0.374,-0.238,-0.8,0.158,-0.211
0.102,0.075,0.141,0.18,0.138,-0.057,-0.075,0.072,0.072
0.607,0.711,0.879,0.765,0.592,0.187,0.431,0.345,0.187
0.774,0.823,0.619,0.37,0.725,0.439,-0.025,-0.259,0.496
0.504,0.644,0.845,0.681,0.502,0.151,0.404,0.296,0.26
0.57,0.729,0.879,0.624,0.588,0.204,0.435,-0.018,0.354
0.885,0.932,0.878,0.662,0.839,0.917,0.593,0.252,0.801
-0.029,0.065,0.258,0.078,-0.053,-0.456,-0.153,-0.356,-0.379
1.396,1.461,1.342,1.122,1.394,1.408,0.924,0.638,1.375
0.389,0.428,0.332,0.466,0.35,0.539,-0.159,-0.459,0.259
0.155,0.238,0.416,0.327,0.189,-0.274,0.001,-0.152,-0.098
0.127,0.17,0.381,0.339,0.121,-0.302,-0.147,-0.062,-0.099
0.165,0.298,0.472,0.249,0.172,-0.231,-0.036,0.011,-0.12
0.372,0.418,0.296,0.109,0.334,0.089,-0.149,-0.398,0.254
0.05,0.157,0.348,0.257,0.054,-0.272,-0.231,-0.207,-0.205
-0.148,-0.285,-0.137,-0.089,-0.188,-0.705,-1.029,0.007,-0.398
0.249,0.465,0.225,0.331,0.525,0.036,-0.131,-0.212,0.02
-0.315,-0.148,-0.33,0.15,-0.266,0.382,-0.246,0.417,-0.428
0.123,0.189,0.189,0.036,0.093,0.246,0.861,-0.097,-0.114
0.144,0.201,0.396,0.393,0.171,-0.312,-0.248,-0.08,-0.118
-0.558,-0.705,-0.526,-0.412,-0.753,-0.998,-0.27,0.598,-1.416
0.218,0.435,0.218,0.3,0.496,0.002,0.135,0.184,-0.03
-0.444,-0.315,-0.461,-0.278,0.283,0.068,1.185,-0.246,-0.097
0.182,0.264,0.142,0.023,0.177,-0.219,-0.105,-0.269,-0.039
0.303,0.402,0.588,0.477,0.309,0.159,0.108,-0.018,0.249
-0.3,0.083,-0.266,-0.148,-0.148,0.744,-0.246,0.728,0.283
0.559,0.61,0.492,0.347,0.531,0.242,0.203,0.06,0.615
0.093,0.171,0.357,0.255,0.096,-0.327,-0.111,-0.136,-0.193
0.038,-0.12,0.039,0.09,0.007,-0.609,-0.753,0.312,-0.203
0.42,0.548,0.382,0.515,0.728,0.102,-0.048,-0.066,0.3
0.249,0.548,0.184,0.837,0.315,0.901,0.102,0.711,0.201
-0.084,-0.06,-0.089,-0.255,-0.203,-0.12,-0.203,-0.609,-0.461
0.304,0.34,0.227,0.025,0.263,0.31,-0.144,-0.437,0.207
0.134,0.213,0.418,0.307,-0.122,0.146,-0.212,-0.023,-0.205
0.304,0.34,0.227,0.025,0.263,0.31,-0.144,-0.437,0.207
0.134,0.213,0.418,-0.122,0.146,-0.212,0.307,-0.023,-0.205
0.304,0.34,0.227,0.025,0.263,0.31,-0.144,-0.437,0.207
0.134,0.213,0.418,0.307,-0.122,0.146,-0.212,-0.023,-0.205
7.197,8.06,7.223,7.589,7.258,8.31,7.835,8.931,7.824
2.19,2.664,2.325,2.43,2.253,3.303,2.502,3.627,2.727
0.392,0.818,0.438,0.478,0.47,1.198,0.37,1.23,0.82
0.201,0.664,0.184,0.368,0.201,0.515,-0.114,0.812,0.315
-0.338,-0.479,-0.366,-0.269,-0.366,-0.721,-0.495,-0.721,-0.543
0.381,0.531,0.368,0.447,0.666,0.119,-0.015,-0.097,0.167
0.002,0,0.068,0.299,0.35,0.052,0.728,0.874,0.646
0.162,0.023,0.169,0.229,0.12,-0.235,-0.235,-0.071,-0.071
0.258,0.378,0.232,0.364,0.534,0.061,-0.034,-0.18,0.011
0.068,0.112,0.068,0.645,0.331,0.762,0.429,1.145,0.531
-0.677,-0.677,-0.595,-0.33,-0.278,-0.541,0.403,-0.87,0.049
0.117,0.171,0.129,0.405,-0.465,-0.195,-0.307,-0.042,0.24
-0.039,-0.203,-0.105,-0.025,-0.071,-0.624,-0.381,-0.398,-0.3
0.167,0.184,0.167,0.267,0.437,0.615,-0.18,-0.294,-0.114
0.769,0.812,0.788,0.682,0.759,0.721,0.662,0.413,0.852
0.255,-0.443,0.285,0.356,0.525,0.024,0.064,-0.113,0.039
-0.663,-0.695,-0.713,-0.805,-0.749,-0.976,-0.918,-1.168,-1.066
0.711,0.81,0.984,0.882,0.72,0.054,0.519,0.321,0.177
-0.762,-0.686,-0.863,-0.826,-0.824,-1.252,-1.47,-1.283,-0.992
-0.609,-0.753,-0.659,-0.624,-0.641,-0.983,-1.079,-0.817,-0.817
1.092,1.313,1.117,1.197,1.367,0.762,0.582,0.728,0.919
-0.892,-0.564,-0.975,-0.329,-0.999,-0.726,-1.374,-0.866,-1.298
-0.238,-0.412,-0.3,-0.219,-0.269,-0.817,-0.445,-0.479,-0.405
1.275,1.549,1.359,1.266,1.403,1.174,0.927,0.992,0.834
-0.595,-0.719,-0.33,-0.692,-0.097,-1.191,-0.483,-0.483,-0.692
-0.491,-0.595,-0.114,-0.564,-0.266,-1.095,-0.66,-0.533,-0.483
-0.491,-0.595,-0.114,-0.266,-1.095,-0.66,-0.533,-0.483,-0.564
-1.031,-0.493,-0.861,-0.846,-0.984,-0.097,-0.781,0.036,-0.677
0.344,0.409,0.31,0.132,0.274,0.331,-0.016,-0.145,1.178
0.18,0.243,0.437,0.348,0.176,-0.19,-0.098,-0.093,-0.109
0.329,0.368,0.26,0.143,0.285,0.079,-0.089,-0.198,0.252
0.159,0.224,0.414,0.335,0.189,-0.242,-0.119,-0.081,-0.195
0.644,0.628,0.707,0.552,0.473,0.583,0.645,0.351,0.41
0.413,0.402,0.474,0.268,0.269,0.439,0.163,0.081,0.271
0.765,0.798,0.927,1.034,0.819,0.247,0.417,1.168,0.337
0.428,0.43,0.461,0.336,0.257,0.469,0.409,0.04,0.326
0.232,0.222,0.217,0.094,0.127,0.364,0.302,-0.198,-0.014
0.733,0.75,0.885,1.034,0.804,0.195,0.311,0.913,0.387
0.714,0.731,0.811,0.958,0.78,0.38,0.254,0.808,0.187
0.495,0.377,0.375,0.508,0.493,-0.009,0.135,0.919,0.42
-0.548,-0.33,-0.548,-0.501,-0.363,-0.677,-0.941,-0.813,-0.974
-0.564,-0.677,-0.33,-0.628,0.102,-0.959,-0.3,-0.692,-0.564
-0.168,-0.269,-0.285,-0.188,-0.153,-0.601,-0.51,0.765,-0.105
0.309,0.327,0.321,0.225,0.225,0.675,0.477,0.399,-0.307
0.41,0.461,0.59,0.678,0.438,-0.033,0.101,1.072,-0.109
-0.168,-0.191,-0.275,-0.405,-0.339,0.18,-0.059,-0.144,-0.661
0.798,0.771,0.765,0.639,0.615,1.218,1.245,1.38,0.828
-0.326,-0.343,-0.293,-0.412,-0.473,-0.391,-0.429,-0.71,-0.647
0.374,0.371,0.504,0.631,0.442,0.307,0.013,0.417,0.024
-0.022,-0.02,0.03,-0.137,-0.202,0.177,0.118,-0.605,-0.38
0.26,0.303,0.434,0.506,0.285,0.255,0.013,0.365,-0.159
0.26,0.294,0.391,0.491,0.297,-0.207,-0.135,0.494,-0.199
0.228,0.232,0.38,0.511,-0.159,-0.099,0.399,-0.102,0.313
-0.114,-0.078,-0.073,-0.232,-0.245,0.023,-0.208,-0.67,-0.163
0.033,-0.028,0.108,-0.034,-0.011,-0.037,-0.025,0.183,-0.084
0.6,0.615,0.636,0.54,0.573,0.681,0.477,0.594,0.909
0.119,0.124,0.909,-0.037,-0.052,0.025,-0.02,-0.418,-0.196
-0.136,-0.234,-0.136,-0.27,-0.3,-0.361,-0.288,-0.384,-0.445
0.317,0.304,0.459,0.549,0.351,-0.256,-0.045,0.628,-0.049
-0.096,-0.203,-0.075,-0.558,-0.071,-0.445,0.375,-0.203,-0.153
-0.131,0.135,-0.097,-0.114,0.02,-0.223,-0.493,-0.315,-0.412
-0.541,-0.66,-0.195,-0.595,0.162,-0.99,-0.114,-0.396,-0.412
-0.577,-0.565,-0.489,-0.534,-0.64,-0.464,-0.382,-0.142,-0.545
-0.654,-0.664,-0.527,-0.601,-0.956,-0.966,-0.371,-0.806,-0.383
-1.171,-1.186,-0.564,-1.186,-0.924,-1.095,-0.66,-1.203,-0.757
0.481,0.526,0.55,0.462,0.409,0.515,0.563,0.46,0.406
0.056,0.057,0.184,0.304,0.105,-0.471,-0.273,0.47,-0.338
-0.555,-0.461,-0.543,-0.479,-0.429,-0.3,-0.429,0.09,-0.269
-0.659,-0.451,-0.692,-0.708,-0.595,-0.726,-1.031,-0.877,-1.08
0.283,0.218,0.21,0.233,1.054,-0.048,0.728,0.45,0.548
0.385,0.43,0.462,0.387,0.475,0.613,0.529,0.426,0.637
-0.285,-0.3,-0.182,-0.068,-0.253,-0.788,-0.647,0.033,-0.57
2.183,1.969,2.017,1.957,1.899,0.518,0.518,0.426,0.637
-0.222,-0.19,-0.059,-0.027,-0.233,0.105,-0.4,-0.149,-0.555
1.466,1.508,1.562,1.394,1.444,1.142,1.33,1.049,1.198
-0.192,-0.201,-0.062,0.03,-0.183,-0.657,-0.424,0.277,-0.526
0.237,0.444,0.264,0.258,0.42,0.099,-0.094,0.354,-0.12
0.317,0.352,0.27,0.38,0.381,0.257,0.242,0.643,0.3
0.135,0.331,0.119,0.184,0.327,-0.032,-0.165,0.233,-0.183
0.984,0.872,1.449,1.643,0.666,1.65,1.189,1.02,1.035
0.315,0.372,0.389,0.339,0.309,0.368,0.237,0.366,0.412
0.595,0.601,0.522,0.644,0.662,0.466,0.548,0.887,0.7
1.156,1.141,1.681,1.044,1.542,0.927,1.342,1.174,1.582
1.156,1.141,1.681,1.044,1.542,0.927,1.342,1.174,1.582
0.898,0.953,0.984,0.925,0.893,1.018,0.912,0.842,1.393
-0.059,-0.077,0.074,0.157,-0.081,-0.503,-0.362,0.238,-0.479
-0.262,-0.3,0.267,-0.228,0.102,-0.516,0.102,0.102,0.102
0.548,0.548,1.107,0.582,0.849,0.63,1.104,1.104,1.021
0.178,0.157,0.212,0.285,0.227,0.126,0.189,0.915,0.319
0.015,0.201,-0.016,0.068,0.201,-0.114,-0.212,0.331,-0.396
-0.461,-0.428,-0.016,-0.428,0.283,-0.381,0.135,-0.645,-0.114
0.572,0.646,0.619,0.662,0.561,0.7,0.717,0.857,0.634
-0.029,0.001,0.11,0.2,-0.032,-0.469,-0.368,-0.323,-0.569
0.02,-0.03,0.579,0.135,0.315,-0.278,0.233,0.582,0.412
0.495,0.447,0.872,0.531,1.074,0.48,1.134,0.433,0.66
0.402,0.639,0.399,0.423,0.57,0.354,0.051,0.735,-0.009
-0.317,-0.078,-0.25,-0.235,-0.219,0.387,0.007,0.156,0.09
-0.097,0.135,-0.131,-0.083,0.084,-0.131,-0.548,0.02,-0.363
0.084,0.068,0.463,0.102,0.939,-0.03,0.762,0.728,0.496
0.621,0.726,0.69,0.624,0.663,1.383,1.14,0.843,0.531
0.039,0.057,0.195,0.291,0.093,-0.415,-0.292,0.399,-0.325
0.633,0.63,0.909,0.525,0.732,0.105,0.201,1.059,0.201
-0.023,-0.038,0.114,0.211,-0.023,-0.261,-0.249,0.061,0.345
0.839,0.901,0.89,0.931,0.845,0.936,0.965,1.108,0.97
-0.076,-0.068,0.034,0.14,-0.027,-0.499,-0.463,0.087,-0.338
0.254,0.338,0.327,0.306,0.231,0.517,0.496,0.877,0.007
0.283,0.53,0.283,0.267,0.399,0.167,-0.083,0.267,-0.165
0.002,-0.083,0.3,-0.097,0.396,-1.225,0.331,0.368,0.15
0.887,0.935,0.951,0.987,0.872,0.947,1.033,1.17,0.924
-0.12,-0.1,0.048,0.081,-0.128,-0.585,-0.445,0.354,-0.49
0.887,0.935,0.951,0.987,0.872,0.947,1.033,1.17,0.924
0.12,-0.1,0.048,0.081,-0.128,-0.585,-0.445,0.354,-0.49
0.837,0.887,0.875,0.93,0.812,0.937,1.029,1.018,0.89
-0.051,-0.043,0.094,0.161,-0.068,-0.505,-0.387,0.354,-0.447
1.602,1.518,1.575,1.626,1.593,1.569,1.692,1.767,1.383
0.713,0.748,0.766,0.823,0.694,0.77,0.851,0.981,0.786
-0.107,-0.093,0.065,0.114,-0.072,4.029,-0.055,-0.062,-0.454
-0.021,-0.045,0.105,0.208,-0.01,-0.392,-0.175,0.157,-0.432
0.713,0.748,0.766,0.823,0.694,0.77,0.851,0.981,0.786
-0.021,-0.01,0.105,0.208,-0.01,-0.392,-0.175,0.157,-0.432
0.407,0.459,0.412,0.489,0.496,0.48,0.465,1.247,0.748
0.02,0.283,0.052,0.02,0.184,-0.032,-0.212,0.594,-0.33
0.331,0.233,0.788,0.35,1.051,0.068,1.122,0.897,0.63
0.668,0.715,0.716,0.769,0.655,0.786,0.815,0.869,0.73
-0.038,-0.079,0.047,0.177,-0.045,-0.609,-0.432,0.447,-0.453
0.668,0.67,0.698,0.755,0.621,0.61,0.745,0.934,0.634
0.474,0.486,0.606,0.666,0.468,-0.01,0.165,1.095,-0.012
0.354,0.433,0.458,0.428,0.36,0.462,0.608,0.675,0.269
-0.006,-0.027,0.125,0.151,-0.075,-0.516,-0.375,0.361,-0.423
0.55,0.553,0.644,0.61,0.38,0.725,0.685,0.52,0.587
-0.083,-0.025,0.112,0.101,-0.126,-0.475,-0.43,0.371,-0.432
0.55,0.553,0.644,0.614,0.61,0.38,0.725,0.685,0.52
-0.083,-0.025,0.114,0.101,-0.126,-0.475,-0.43,0.371,-0.432
0.372,0.438,0.411,0.434,0.372,0.496,0.443,0.587,0.463
-0.147,-0.129,0.014,0.035,-0.176,-0.552,-0.509,0.045,-0.452
0.49,0.542,0.559,0.617,0.496,0.539,0.621,0.815,0.547
0.007,-0.06,0.073,0.105,0.007,-0.071,-0.348,-0.06,0.105
0.299,0.564,0.342,0.297,0.444,0.233,0.052,0.645,-0.114
0.534,0.458,0.945,0.534,1.217,0.208,1.152,1.374,0.732
0.443,0.508,0.454,0.576,0.428,0.424,0.567,0.875,0.56
0.073,0.091,0.194,0.311,0.112,-0.452,-0.257,0.881,-0.326
0.535,0.524,0.649,0.475,0.486,0.657,0.941,0.527,0.494
0.041,0.056,0.194,0.234,-0.003,-0.31,0.267,-0.449,-0.432
0.507,0.563,0.539,0.634,0.471,0.578,0.686,0.763,0.576
-0.033,-0.025,0.118,0.148,-0.076,-0.403,-0.345,0.084,-0.473
0.47,0.52,0.526,0.553,0.65,0.92,0.466,0.608,0.55